Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,Tỷ Lệ NN Được sở Hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Nhóm,Sàn Giao Dịch
ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,15/11/2006,45000000.0,54.0,937303610.0,579998.0,937883608.0,410765520.0,43.79706783402915,297619621.0,8.4,7859.5,bds,HOSE
ITC,CTCP Đầu tư và Kinh doanh Nhà,19/10/2009,23028896.0,55.0,78845574.0,440360.0,79285934.0,33852477.0,42.69669951797503,26966562.0,22.8,1803.8,bds,HOSE
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,18/12/2007,88000000.0,161.3,463809856.0,5950655.0,469760511.0,233098471.0,49.62070364403193,71979709.0,48.0,22548.5,bds,HOSE
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,01/02/2010,33200000.0,40.0,642937069.0,0.0,642937069.0,88200000.0,13.718294410552955,4983595.0,48.0,30861.0,bds,HOSE
LCG,CTCP Licogi 16,18/11/2008,13600000.0,60.0,117248510.0,0.0,117248510.0,37362478.0,31.866057828794585,11041100.0,18.0,2110.5,bds,HOSE
LEC,CTCP Bất động sản Điện lực Miền Trung,14/06/2017,26100000.0,11.0,26100000.0,0.0,26100000.0,0.0,0.0,0.0,13.4,349.7,bds,HOSE
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,08/10/2009,8000000.0,30.0,52994200.0,2900.0,52997100.0,9799644.0,18.490906106183168,9774233.0,9.2,487.6,bds,HOSE
LHG,CTCP Long Hậu,23/03/2010,20000000.0,40.0,49983022.0,14494.0,49997516.0,12780487.0,25.562243932278555,11414235.0,56.0,2799.9,bds,HOSE
NBB,CTCP Đầu tư Năm Bảy Bảy,18/02/2009,15400000.0,27.0,100196856.0,139400.0,100336256.0,28577388.0,28.48161685442997,9211888.0,39.6,3968.3,bds,HOSE
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,13/07/2010,5890000.0,45.5,28176550.0,0.0,28176550.0,5684000.0,20.17280327080498,4814900.0,41.9,1180.6,bds,HOSE
NLG,CTCP Đầu tư Nam Long,08/04/2013,95513523.0,27.0,265270660.0,10000000.0,275270660.0,69636109.0,25.297323368934414,125325.0,56.5,15552.8,bds,HOSE
ADC,CTCP Mỹ thuật và Truyền thông,24/12/2010,1000000.0,10.8,3060000.0,0.0,3060000.0,1499400.0,49.0,1136986.0,24.7,75.6,congnghe,HNX
CKV,CTCP COKYVINA,11/03/2010,4050000.0,20.0,4050000.0,0.0,4050000.0,1984500.0,49.0,1028900.0,12.6,51.0,congnghe,HNX
KST,CTCP KASATI,29/12/2010,2996010.0,25.5,2996010.0,0.0,2996010.0,1468044.0,48.99996996004686,1374644.0,32.4,97.1,congnghe,HNX
ONE,CTCP Truyền thông Số 1,25/06/2008,2000000.0,25.0,7960310.0,0.0,7960310.0,3546118.0,44.547486215989075,2668625.0,7.9,62.9,congnghe,HNX
POT,CTCP Thiết bị Bưu điện,20/12/2006,14998600.0,61.8,19142686.0,143660.0,19286346.0,9520702.0,49.36498598542202,9499754.0,19.4,374.2,congnghe,HNX
SMT,CTCP Sametel,30/07/2010,2500000.0,17.4,5467432.0,0.0,5467432.0,2195935.0,40.16391973416405,1060610.0,17.8,97.3,congnghe,HNX
SRA,CTCP Sara Việt Nam,18/01/2008,1000000.0,51.0,25199974.0,0.0,25199974.0,980000.0,3.8888929012387075,823400.0,9.3,234.4,congnghe,HNX
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông,13/12/2007,4800000.0,67.1,4800000.0,0.0,4800000.0,2352000.0,49.0,1924500.0,9.6,46.1,congnghe,HNX
TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung,29/01/2013,3500000.0,9.4,7570444.0,0.0,7570444.0,2572500.0,33.9808338850403,2563500.0,5.7,43.2,congnghe,HNX
UNI,CTCP Viễn Liên,03/07/2006,1000000.0,28.2,15014432.0,301600.0,15316032.0,7652639.0,49.964892995783764,6806731.0,13.4,205.2,congnghe,HNX
VAT,CTCP Viễn thông Vạn Xuân,15/12/2010,1200000.0,19.3,4476953.0,68000.0,4544953.0,2057900.0,45.278796062357515,1914550.0,2.4,10.9,congnghe,HNX
VIE,CTCP Công nghệ Viễn thông VITECO,06/05/2011,1561244.0,12.8,1561244.0,0.0,1561244.0,765009.0,48.9999641311672,765009.0,5.4,8.4,congnghe,HNX
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang,04/08/2010,1080000.0,20.0,1080000.0,0.0,1080000.0,529200.0,49.0,29400.0,25.3,27.3,congnghe,HNX
VTC,CTCP Viễn thông VTC,12/02/2003,1797740.0,21.0,4534696.0,0.0,4534696.0,2222001.0,48.9999991179122,1615797.0,16.1,73.0,congnghe,HNX
CMG,CTCP Tập đoàn Công nghệ CMC,22/01/2010,63536267.0,35.0,100158086.0,-79110.0,100078976.0,32997556.0,32.971516415195936,29520713.0,60.5,6054.8,congnghe,HOSE
ELC,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,13/10/2010,22125000.0,50.5,50928243.0,0.0,50928243.0,22832713.0,44.83310566987359,12754909.0,27.5,1400.5,congnghe,HOSE
FPT,CTCP FPT,13/12/2006,60810230.0,400.0,907551649.0,0.0,907551649.0,225119075.0,24.805097896968288,6.0,98.2,89121.6,congnghe,HOSE
ITD,CTCP Công nghệ Tiên Phong,20/12/2011,11610399.0,12.0,19064798.0,0.0,19064798.0,7509238.0,39.38797568167258,5116464.0,24.2,461.4,congnghe,HOSE
SAM,CTCP SAM HOLDINGS,28/07/2000,18000000.0,16.0,349997190.0,0.0,349997190.0,88315314.0,25.23314944328553,65864578.0,21.9,7664.9,congnghe,HOSE
SGT,CTCP Công nghệ Viễn Thông Sài Gòn,18/01/2008,45000000.0,90.0,74001294.0,310.0,74001604.0,36260937.0,49.00020410368403,26614978.0,30.9,2286.6,congnghe,HOSE
ST8,CTCP Siêu Thanh,18/12/2007,8200000.0,80.0,25598902.0,61000.0,25659902.0,9694919.0,37.78236955074887,0.0,10.8,277.1,congnghe,HOSE
SVT,CTCP Công nghệ Sài Gòn Viễn Đông,05/10/2011,8700000.0,18.0,11579574.0,0.0,11579574.0,5158199.0,44.54567154197555,5158199.0,15.5,179.5,congnghe,HOSE
ABC,CTCP Truyền thông VMG,18/08/2016,20393000.0,28.5,20393000.0,0.0,20393000.0,9060.0,0.044427009267886036,9060.0,13.2,269.2,congnghe,UPCOM
CMT,CTCP Công nghệ Mạng và Truyền thông,11/03/2010,8000000.0,50.0,6566740.0,716630.0,7283370.0,3920000.0,53.82123934387516,2660540.0,19.3,140.6,congnghe,UPCOM
CNC,CTCP Công nghệ Cao Traphaco,25/06/2014,6313572.0,0.0,11364325.0,0.0,11364325.0,4590174.0,40.39108350033988,4590174.0,29.1,330.7,congnghe,UPCOM
CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,02/06/2016,4400000.0,12.0,8800000.0,0.0,8800000.0,2156000.0,24.5,2156000.0,23.5,206.8,congnghe,UPCOM
FOX,CTCP Viễn thông FPT,13/01/2017,137078609.0,54.0,273646461.0,0.0,273646461.0,0.0,0.0,0.0,80.0,21891.7,congnghe,UPCOM
HPT,CTCP Dịch vụ Công nghệ Tin học HPT,17/06/2010,5989299.0,0.0,7961285.0,155660.0,8116945.0,3177423.0,39.14555291430458,3177423.0,12.0,97.4,congnghe,UPCOM
IFC,CTCP Thực phẩm Công nghệ Sài Gòn,22/03/2016,3000000.0,26.5,9000000.0,0.0,9000000.0,1470000.0,16.333333333333332,1470000.0,6.9,62.1,congnghe,UPCOM
LTC,CTCP Điện nhẹ Viễn Thông,14/12/2006,700000.0,45.0,4586000.0,0.0,4586000.0,2247140.0,49.0,2140914.0,3.3,15.1,congnghe,UPCOM
SRB,CTCP Tập đoàn Sara,17/03/2008,5650000.0,15.1,8500000.0,0.0,8500000.0,3852830.0,45.327411764705886,3852830.0,5.1,43.3,congnghe,UPCOM
TTN,CTCP Công nghệ và Truyền thông Việt Nam,19/04/2017,24485000.0,7.0,24485000.0,0.0,24485000.0,0.0,0.0,0.0,15.2,372.2,congnghe,UPCOM
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,14/07/2017,43800000.0,12.1,43800000.0,0.0,43800000.0,0.0,0.0,0.0,14.5,635.1,congnghe,UPCOM
ACB,Ngân hàng TMCP Á Châu,21/11/2006,110004656.0,130.2,2701948075.0,0.0,2701948075.0,281308951.0,10.411338160153209,2.0,31.4,84841.2,nganhang,HOSE
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,06/09/2011,66000000.0,11.5,117276895.0,0.0,117276895.0,57465678.0,48.99999953102442,2711424.0,30.2,3541.8,nganhang,HOSE
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,24/01/2014,2811202644.0,18.7,4160245514.0,0.0,4160245514.0,1025614600.0,24.65274216506252,959977104.0,39.9,165993.8,nganhang,HOSE
BMI,Tổng Công ty cổ phần Bảo Minh,28/11/2006,43400000.0,74.1,91354037.0,0.0,91354037.0,40694445.0,44.5458639118488,5547430.0,45.8,4184.0,nganhang,HOSE
BVH,Tập đoàn Bảo Việt,26/06/2009,573026605.0,46.2,742322764.0,0.0,742322764.0,333431002.0,44.917254080059436,162908752.0,64.9,48176.7,nganhang,HOSE
CTG,Ngân hàng TMCP Công Thương Việt Nam,16/07/2009,121211780.0,50.0,3723404556.0,0.0,3723404556.0,1117021366.0,29.999999978514285,641249.0,31.1,115797.9,nganhang,HOSE
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,27/10/2009,876226900.0,28.0,1235522904.0,0.0,1235522904.0,370656871.0,29.99999998381252,24056584.0,23.5,29034.8,nganhang,HOSE
HDB,Ngân hàng TMCP Phát triển TPHCM,05/01/2018,980999979.0,33.0,1240619957.0,15078688.0,1255698645.0,0.0,0.0,0.0,25.2,31643.6,nganhang,HOSE
LPB,Ngân hàng TMCP Bưu điện Liên Việt,05/10/2017,646000000.0,14.8,1074638914.0,0.0,1074638914.0,0.0,0.0,0.0,21.0,22567.4,nganhang,HOSE
MBB,Ngân hàng TMCP Quân Đội,01/11/2011,730000000.0,13.8,3778321777.0,0.0,3778321777.0,326236363.0,8.63442507691954,7.0,28.4,107304.3,nganhang,HOSE
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội,05/05/2017,80000000.0,10.0,143000000.0,0.0,143000000.0,0.0,0.0,0.0,28.2,4032.6,nganhang,HOSE
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,29/07/2011,70974218.0,18.8,88491993.0,112890.0,88604883.0,34777366.0,39.249942917931506,33613327.0,28.4,2511.9,nganhang,HOSE
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,20/04/2009,50000000.0,14.4,1925056465.0,496186.0,1925552651.0,284578338.0,14.779047347898253,169769163.0,27.3,52471.3,nganhang,HOSE
STB,Ngân hàng TMCP Sài Gòn Thương Tín,12/07/2006,189947299.0,78.0,1685215717.0,100000000.0,1785215717.0,565564714.0,31.68046912282478,347154788.0,26.5,47308.2,nganhang,HOSE
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,04/06/2018,1165530720.0,128.0,3500139962.0,0.0,3500139962.0,0.0,0.0,0.0,51.5,180257.2,nganhang,HOSE
TPB,Ngân hàng TMCP Tiên Phong,19/04/2018,555000000.0,32.0,991639611.0,40016056.0,1031655667.0,0.0,0.0,0.0,43.3,44670.7,nganhang,HOSE
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,30/06/2009,112285426.0,50.0,3708877448.0,0.0,3708877448.0,799506100.0,21.55655211608922,233452830.0,96.1,356423.1,nganhang,HOSE
VIB,Ngân hàng TMCP Quốc tế Việt Nam,09/01/2017,564442500.0,17.0,1109387852.0,0.0,1109387852.0,0.0,0.0,0.0,37.1,41158.3,nganhang,HOSE
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,17/08/2017,1332689035.0,39.0,2456748366.0,0.0,2456748366.0,0.0,0.0,0.0,38.0,93233.6,nganhang,HOSE
